# Log started at SystemTime { intervals: 134199902921456367 }
Generation	Highest_Fitness
0	-17598
1	-15084
2	-15058
3	-15058
4	-15009
5	-12469
6	-12475
7	-12475
8	-15027
9	-12417
10	-12472
11	-14968
12	-14944
13	-9944
14	-12427
15	-9930
16	-12405
17	-12458
18	-12405
19	-14888
20	-12405
21	-9885
22	-12405
23	-7432
24	-7429
25	-7385
26	-4875
27	-7375
28	-7375
29	-4875
30	-2395
31	-2375
32	-4875
33	-2375
34	-4875
35	-2375
36	-4846
37	-4846
38	-2346
39	-4846
40	-2346
41	-2346
42	-4846
43	-2346
44	-2346
45	-4846
46	-4846
47	-2346
48	-4846
49	-4846
50	-2346
51	-2346
52	-2346
53	-4846
54	-2336
55	-2346
56	-4836
57	-4836
58	-4836
59	-2346
60	-2346
61	-2336
62	-2346
63	-2305
64	-2305
65	-4805
66	-4805
67	-2336
68	-2325
69	-4805
70	-4805
71	-2305
72	-2346
73	-4805
74	-2346
75	-2305
76	-2308
77	-2346
78	-2305
79	-2305
80	-2305
81	-2305
82	-4805
83	-2305
84	-2305
85	-2305
86	-2305
87	-2305
88	-2305
89	-2305
90	-2305
91	-2305
92	-2305
93	-4795
94	-2305
95	-4795
96	-2305
97	-2305
98	-2305
99	-2305
100	-2305
101	-2305
102	-2215
103	-2215
104	-2215
105	-2215
106	-2215
107	-2215
108	-2215
109	-2215
110	-2212
111	-2212
112	-2215
113	-2215
114	-2215
115	-2203
116	-2203
117	-2203
118	-2203
119	-2203
120	-2203
121	-2203
122	-2203
123	-2203
124	-2203
