# Log started at SystemTime { intervals: 134199887615923436 }
Generation	Highest_Fitness
0	-20074
1	-9775
2	-14775
3	-12272
4	-1956
5	-1956
6	-1836
7	-1836
8	-1823
9	-1823
10	-1823
11	-1823
12	-1823
13	-1823
14	-1823
15	-1823
16	-1823
17	-1823
18	-1823
19	-1823
20	-1823
21	-1823
22	-1823
23	-1823
24	-1823
25	-1823
26	-1823
27	-1823
28	-1823
29	-1823
30	-1823
31	-1823
32	-1823
33	-1823
34	-1823
35	-1823
36	-1823
37	-1823
38	-1823
39	-1823
40	-1823
41	-1823
42	-1823
43	-1823
44	-1823
45	-1823
46	-1823
47	-1823
48	-1823
49	-1823
50	-1823
51	-1823
52	-1823
53	-1823
54	-1823
55	-1823
56	-1823
57	-1823
58	-1823
59	-1823
60	-1823
61	-1823
62	-1823
63	-1823
64	-1823
65	-1823
66	-1823
67	-1823
68	-1823
69	-1823
70	-1823
71	-1823
72	-1823
73	-1823
74	-1823
75	-1823
76	-1823
77	-1823
78	-1823
79	-1823
80	-1823
81	-1823
82	-1823
83	-1823
84	-1823
85	-1823
86	-1823
87	-1823
88	-1823
89	-1823
90	-1823
91	-1823
92	-1823
93	-1823
94	-1823
95	-1823
96	-1823
97	-1823
98	-1823
99	-1823
100	-1823
101	-1823
102	-1823
103	-1823
104	-1823
105	-1823
106	-1823
107	-1823
108	-1823
109	-1823
110	-1823
111	-1823
112	-1823
113	-1823
114	-1823
115	-1823
116	-1823
117	-1823
118	-1823
119	-1823
120	-1823
121	-1823
122	-1823
123	-1823
124	-1823
125	-1823
126	-1823
127	-1823
128	-1823
129	-1823
130	-1823
131	-1823
132	-1823
133	-1823
134	-1823
135	-1823
136	-1823
137	-1823
138	-1823
139	-1823
140	-1823
141	-1823
142	-1823
143	-1823
144	-1823
145	-1823
146	-1823
147	-1823
148	-1823
149	-1823
150	-1823
151	-1823
152	-1823
153	-1823
154	-1823
155	-1823
156	-1823
157	-1823
158	-1823
159	-1823
160	-1823
161	-1823
162	-1823
163	-1823
164	-1823
165	-1823
166	-1823
167	-1823
168	-1823
169	-1823
170	-1823
171	-1823
172	-1823
173	-1823
174	-1823
175	-1823
176	-1823
177	-1823
178	-1823
179	-1823
180	-1823
181	-1823
182	-1823
183	-1823
184	-1823
185	-1823
186	-1823
187	-1823
188	-1823
189	-1823
190	-1823
191	-1823
192	-1823
193	-1823
194	-1823
195	-1823
196	-1823
197	-1823
198	-1823
199	-1823
200	-1823
201	-1823
202	-1823
203	-1823
204	-1823
205	-1823
206	-1823
207	-1823
208	-1823
209	-1823
210	-1823
211	-1823
212	-1823
213	-1823
214	-1823
215	-1823
216	-1823
217	-1823
218	-1823
219	-1823
220	-1823
221	-1823
222	-1823
223	-1823
224	-1823
225	-1823
226	-1823
227	-1823
228	-1823
229	-1823
230	-1823
231	-1823
232	-1823
233	-1823
234	-1823
235	-1823
236	-1823
237	-1823
238	-1823
239	-1823
240	-1823
241	-1823
242	-1823
243	-1823
244	-1823
245	-1823
246	-1823
247	-1823
248	-1823
249	-1823
250	-1823
251	-1823
252	-1823
253	-1823
254	-1823
255	-1823
256	-1823
257	-1823
258	-1823
259	-1823
260	-1823
261	-1823
262	-1823
263	-1823
264	-1823
265	-1823
266	-1823
267	-1823
268	-1823
269	-1823
270	-1823
271	-1823
272	-1823
273	-1823
274	-1823
275	-1823
276	-1823
277	-1823
278	-1823
279	-1823
280	-1823
281	-1823
282	-1823
283	-1823
284	-1823
285	-1823
286	-1823
287	-1823
288	-1823
289	-1823
290	-1823
291	-1823
292	-1823
293	-1823
294	-1823
295	-1823
296	-1823
297	-1823
298	-1823
299	-1823
300	-1823
301	-1823
302	-1823
303	-1823
304	-1823
305	-1823
306	-1823
307	-1823
308	-1823
309	-1823
310	-1823
311	-1823
312	-1823
313	-1823
314	-1823
315	-1823
316	-1823
317	-1823
318	-1823
319	-1823
320	-1823
321	-1823
322	-1823
323	-1823
324	-1823
325	-1823
326	-1823
327	-1823
328	-1823
329	-1823
330	-1823
331	-1823
332	-1823
333	-1823
334	-1823
335	-1823
336	-1823
337	-1823
338	-1823
339	-1823
340	-1823
341	-1823
342	-1823
343	-1823
344	-1823
345	-1823
346	-1823
347	-1823
348	-1823
349	-1823
350	-1823
351	-1823
352	-1823
353	-1823
354	-1823
355	-1823
356	-1823
357	-1823
358	-1823
359	-1823
360	-1823
361	-1823
362	-1823
363	-1823
364	-1823
365	-1823
366	-1823
367	-1823
368	-1823
369	-1823
370	-1823
371	-1823
372	-1823
373	-1823
374	-1823
375	-1823
376	-1823
377	-1823
378	-1823
379	-1823
380	-1823
381	-1823
382	-1823
383	-1823
384	-1823
385	-1823
386	-1823
387	-1823
388	-1823
389	-1823
390	-1823
391	-1823
392	-1823
393	-1823
394	-1823
395	-1823
396	-1823
397	-1823
398	-1823
399	-1823
400	-1823
401	-1823
402	-1823
403	-1823
