# Log started at SystemTime { intervals: 134199902921452215 }
Generation	Highest_Fitness
0	-12585
1	-12611
2	-17563
3	-10081
4	-10081
5	-10013
6	-10032
7	-10012
8	-9988
9	-10023
10	-10052
11	-10003
12	-10023
13	-10032
14	-10013
15	-10022
16	-10022
17	-10003
18	-10003
19	-9994
20	-9994
21	-9994
22	-7475
23	-9975
24	-9975
25	-9975
26	-7475
27	-9975
28	-9995
29	-7495
30	-7475
31	-7495
32	-7475
33	-9975
34	-9975
35	-7495
36	-9957
37	-9975
38	-9975
39	-7475
40	-9975
41	-7455
42	-7475
43	-7485
44	-9946
45	-7446
46	-7475
47	-7475
48	-9975
49	-7475
50	-7475
51	-7475
52	-7475
53	-7437
54	-7417
55	-7475
56	-7447
57	-7417
58	-4917
59	-4888
60	-7417
61	-7417
62	-4917
63	-4937
64	-7417
65	-7417
66	-7388
67	-4917
68	-7388
69	-9888
70	-9872
71	-9907
72	-7417
73	-7417
74	-4888
75	-7417
76	-7417
77	-7437
78	-4917
79	-7417
80	-9917
81	-7417
82	-7417
83	-7417
84	-7417
85	-9917
86	-7417
87	-4917
88	-4917
89	-4937
90	-9910
91	-7437
92	-7417
93	-7417
94	-7417
95	-4917
96	-4917
97	-4917
98	-4937
99	-7388
100	-7437
101	-7388
102	-7388
103	-7417
104	-7417
105	-7417
106	-7417
107	-7417
108	-7417
109	-4917
110	-4888
111	-7417
112	-7417
113	-4917
114	-7417
115	-7417
116	-4917
117	-7417
118	-7417
119	-7417
120	-4917
121	-7417
122	-7417
123	-7417
124	-7417
