# Log started at SystemTime { intervals: 134199902921438709 }
Generation	Highest_Fitness
0	-17610
1	-12662
2	-12538
3	-12531
4	-5058
5	-10064
6	2
7	-10084
8	-9970
9	-9961
10	-4981
11	-4981
12	-2481
13	19
14	-2481
15	19
16	19
17	-4981
18	-2481
19	-2481
20	-2490
21	-2481
22	-2481
23	-2481
24	19
25	-2203
26	19
27	-2203
28	-2203
29	-2203
30	-2203
31	-2203
32	-2203
33	-2203
34	-2203
35	-2203
36	-2203
37	-2203
38	-2203
39	-2203
40	-2203
41	-2203
42	-2203
43	-2203
44	-2203
45	-2203
46	-2203
47	-2203
48	-2203
49	-2203
50	-2203
51	-2203
52	-2203
53	-2203
54	-2203
55	-2203
56	-2203
57	-2203
58	-2203
59	-2203
60	-2203
61	-2203
62	-2203
63	-2203
64	-2203
65	-2203
66	-2203
67	-2203
68	-2203
69	-2203
70	-2203
71	-2203
72	-2203
73	-2203
74	-2203
75	-2203
76	-2203
77	-2203
78	-2203
79	-2203
80	-2203
81	-2203
82	-2203
83	-2203
84	-2203
85	-2203
86	-2203
87	-2203
88	-2203
89	-2203
90	-2203
91	-2203
92	-2203
93	-2203
94	-2203
95	-2203
96	-2203
97	-2203
98	-2203
99	-2203
100	-2203
101	-2203
102	-2203
103	-2203
104	-2203
105	-2203
106	-2203
107	-2203
108	-2203
109	-2203
110	-2203
111	-2203
112	-2203
113	-2203
114	-2203
115	-2203
116	-2203
117	-2203
118	-2203
119	-2203
120	-2203
121	-2203
122	-2203
123	-2203
124	-2203
