# Log started at SystemTime { intervals: 134199922370517768 }
Generation	Highest_Fitness
0	-17600
1	-9932
2	-9932
3	-9932
4	67
5	87
6	70
7	106
8	106
9	116
10	116
11	116
12	131
13	145
14	151
15	151
16	151
17	151
18	151
19	151
20	145
21	145
22	145
23	145
24	145
25	145
26	145
27	145
28	148
29	148
30	145
31	145
32	148
33	148
34	148
35	145
36	148
37	148
38	148
39	148
40	148
41	148
42	148
43	148
44	145
45	145
46	145
47	148
48	148
49	148
50	161
51	161
52	148
53	148
54	145
55	148
56	151
57	148
58	145
59	154
60	154
61	145
62	145
63	154
64	145
65	145
66	145
67	145
68	145
69	145
70	145
71	154
72	186
73	145
74	145
75	154
76	145
77	148
78	148
79	148
80	154
81	148
82	148
83	148
84	148
85	148
86	148
87	157
88	157
89	157
90	157
91	151
92	157
93	157
94	151
95	151
96	151
97	151
98	151
99	160
100	160
101	151
102	160
103	160
104	160
105	151
106	151
107	160
108	160
109	151
110	160
111	151
112	160
113	160
114	151
115	160
116	160
117	160
118	160
119	160
120	151
121	154
122	151
123	154
124	154
