# Log started at SystemTime { intervals: 134204103797248336 }
Generation	Highest_Fitness
0	-10113.675213675215
1	-9990.598290598291
2	-9990.598290598291
3	-6614.378277661477
4	-6614.378277661477
5	-9407.692307692309
6	-9361.538461538461
7	-9244.444444444445
8	-9198.2905982906
9	-9102.564102564103
10	-9071.794871794873
11	-8899.145299145299
12	-8695.726495726496
13	-8695.726495726496
14	-8640.17094017094
15	-5442.583405866606
16	-5442.583405866606
17	-5091.301354584554
18	-4662.185895419483
19	-3649.5726495726494
20	-4239.742593322124
21	-4239.742593322124
22	-3461.538461538462
23	-3415.3846153846152
24	-3415.3846153846152
25	-3415.3846153846152
26	-3415.3846153846152
27	-3415.3846153846152
28	-3415.3846153846152
29	-3415.3846153846152
30	-3415.3846153846152
31	-3415.3846153846152
32	-3415.3846153846152
33	-3415.3846153846152
34	-3415.3846153846152
35	-3415.3846153846152
36	-3415.3846153846152
37	-3415.3846153846152
38	-3415.3846153846152
39	-3415.3846153846152
40	-3415.3846153846152
41	-3415.3846153846152
42	-3415.3846153846152
43	-3415.3846153846152
44	-3415.3846153846152
45	-3415.3846153846152
46	-3415.3846153846152
47	-3415.3846153846152
48	-3415.3846153846152
49	-3415.3846153846152
50	-3415.3846153846152
51	-3415.3846153846152
52	-3415.3846153846152
53	-3415.3846153846152
54	-3415.3846153846152
55	-3415.3846153846152
56	-3415.3846153846152
57	-3415.3846153846152
58	-3415.3846153846152
59	-3415.3846153846152
60	-3415.3846153846152
61	-3415.3846153846152
62	-3415.3846153846152
63	-3415.3846153846152
64	-3415.3846153846152
65	-3415.3846153846152
66	-3415.3846153846152
67	-3415.3846153846152
68	-3415.3846153846152
69	-3415.3846153846152
70	-3415.3846153846152
71	-3415.3846153846152
72	-3415.3846153846152
73	-3415.3846153846152
74	-3415.3846153846152
75	-3415.3846153846152
76	-3415.3846153846152
77	-3415.3846153846152
78	-3415.3846153846152
79	-3415.3846153846152
80	-3415.3846153846152
81	-3415.3846153846152
82	-3415.3846153846152
83	-3415.3846153846152
84	-3415.3846153846152
85	-3415.3846153846152
86	-3415.3846153846152
87	-3415.3846153846152
88	-3415.3846153846152
89	-3415.3846153846152
90	-3415.3846153846152
91	-3415.3846153846152
92	-3415.3846153846152
93	-3415.3846153846152
94	-3415.3846153846152
95	-3415.3846153846152
96	-3415.3846153846152
97	-3415.3846153846152
98	-3415.3846153846152
99	-3415.3846153846152
