# Log started at SystemTime { intervals: 134199937759328591 }
Generation	Highest_Fitness
0	-15064
1	-15080
2	-14970
3	-12513
4	-5111
5	-5111
6	-7608
7	-144
8	-2594
9	-94
10	-2585
11	-5089
12	-2510
13	-5027
14	-2527
15	-2527
16	-7462
17	-2492
18	-4888
19	-2527
20	-4968
21	-2468
22	-5027
23	-5027
24	-2517
25	-2527
26	-2527
27	-2527
28	-2527
29	-27
30	-2521
31	-5017
32	-2517
33	-5017
34	-5017
35	-2517
36	-5017
37	-5017
38	-5017
39	-2521
40	-2521
41	-5021
42	-17
43	-2517
44	-17
45	-2449
46	-5021
47	-2519
48	-2534
49	-2525
50	-29
51	-34
52	-28
53	-2528
54	-2528
55	-7459
56	-2528
57	-4963
58	-7388
59	-5008
60	-2528
61	31
62	-2508
63	-5008
64	-2528
65	-19
66	-19
67	-2528
68	-2528
69	-4969
70	-2528
71	-4953
72	-8
73	-8
74	-2508
75	-4969
76	14
77	-5008
78	-5008
79	-2528
80	-7469
81	-7508
82	-10008
83	-4969
84	-9969
85	-9969
86	-9964
87	-7469
88	-4969
89	-7463
90	-4953
91	-4963
92	-4963
93	-7469
94	-7453
95	-2453
96	-7453
97	-4953
98	-4953
99	-4953
100	-5000
101	-4885
102	-2450
103	-2450
104	50
105	50
106	50
107	119
108	119
109	119
110	119
111	119
112	119
113	154
114	-2346
115	119
116	119
117	-2356
118	119
119	-2321
120	-2321
121	-2321
122	-2321
123	-2321
124	-2321
