# Log started at SystemTime { intervals: 134199902921448136 }
Generation	Highest_Fitness
0	-15064
1	-10093
2	-162
3	-162
4	-162
5	-162
6	-162
7	-150
8	-150
9	-150
10	-150
11	-55
12	-150
13	-150
14	-116
15	-150
16	-162
17	-5116
18	-2656
19	-2656
20	-5117
21	-5117
22	-2647
23	-5117
24	-2647
25	-5117
26	-5117
27	-5117
28	-141
29	-141
30	-141
31	-141
32	-54
33	-118
34	-141
35	-141
36	-141
37	-141
38	-141
39	-141
40	-141
41	-141
42	-141
43	-141
44	-118
45	-118
46	-118
47	-118
48	-83
49	-83
50	-83
51	-118
52	-10
53	-2618
54	-2583
55	253
56	-2247
57	-54
58	-2247
59	253
60	253
61	253
62	253
63	-2203
64	253
65	233
66	253
67	253
68	-2203
69	-2203
70	-2203
71	-2203
72	-2203
73	-2203
74	-2203
75	-2203
76	-2203
77	-2203
78	-2203
79	-2203
80	-2203
81	-2203
82	-2203
83	-2203
84	-2203
85	-2203
86	-2203
87	-2203
88	-2203
89	-2203
90	-2203
91	-2203
92	-2203
93	-2203
94	-2203
95	-2203
96	-2203
97	-2203
98	-2203
99	-2203
100	-2203
101	-2203
102	-2203
103	-2203
104	-2203
105	-2203
106	-2203
107	-2203
108	-2203
109	-2203
110	-2203
111	-2203
112	-2203
113	-2203
114	-2203
115	-2203
116	-2203
117	-2203
118	-2203
119	-2203
120	-2203
121	-2203
122	-2203
123	-2203
124	-2203
